COURSE,215,
LAB,Waveforms,
DATE,_10/6/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,Jingyang Sui,
,,
Time(s),Ch1(V)
0.000000000,-1.809045000
0.000000042,-1.809045000
0.000000084,-1.809045000
0.000000126,-1.809045000
0.000000168,-1.809045000
0.000000210,-1.809045000
0.000000252,-2.010050000
0.000000294,-2.010050000
0.000000336,-2.010050000
0.000000378,-1.809045000
0.000000420,-2.010050000
0.000000462,-2.010050000
0.000000504,-2.010050000
0.000000546,-1.809045000
0.000000588,-2.010050000
0.000000630,-2.010050000
0.000000672,-2.211055000
0.000000714,-2.010050000
0.000000756,-2.211055000
0.000000798,-2.211055000
0.000000840,-2.211055000
0.000000882,-2.010050000
0.000000924,-2.010050000
0.000000966,-2.211055000
0.000001008,-2.211055000
0.000001050,-2.010050000
0.000001092,-2.211055000
0.000001134,-2.211055000
0.000001176,-2.211055000
0.000001218,-2.010050000
0.000001260,-2.211055000
0.000001302,-2.211055000
0.000001344,-2.211055000
0.000001386,-2.211055000
0.000001428,-2.211055000
0.000001470,-2.412060000
0.000001512,-2.211055000
0.000001554,-2.211055000
0.000001596,-2.412060000
0.000001638,-2.412060000
0.000001680,-2.412060000
0.000001722,-2.412060000
0.000001764,-2.412060000
0.000001806,-2.412060000
0.000001848,-2.613065000
0.000001890,-2.412060000
0.000001932,-2.412060000
0.000001974,-2.412060000
0.000002016,-2.412060000
0.000002058,-2.613065000
0.000002100,-2.613065000
0.000002142,-2.613065000
0.000002184,-2.613065000
0.000002226,-2.412060000
0.000002268,-2.613065000
0.000002310,-2.613065000
0.000002352,-2.613065000
0.000002394,-2.412060000
0.000002436,-2.412060000
0.000002478,-2.613065000
0.000002520,-2.412060000
0.000002562,-2.211055000
0.000002604,-2.412060000
0.000002646,-2.211055000
0.000002688,-2.211055000
0.000002730,-2.010050000
0.000002772,-2.010050000
0.000002814,-2.211055000
0.000002856,-2.010050000
0.000002898,-1.809045000
0.000002940,-2.010050000
0.000002982,-1.809045000
0.000003024,-1.809045000
0.000003066,-1.809045000
0.000003108,-1.809045000
0.000003150,-1.608040000
0.000003192,-1.809045000
0.000003234,-1.608040000
0.000003276,-1.608040000
0.000003318,-1.608040000
0.000003360,-1.608040000
0.000003402,-1.407035000
0.000003444,-1.407035000
0.000003486,-1.407035000
0.000003528,-1.407035000
0.000003570,-1.206030000
0.000003612,-1.206030000
0.000003654,-1.206030000
0.000003696,-1.206030000
0.000003738,-1.005025000
0.000003780,-1.206030000
0.000003822,-1.206030000
0.000003864,-1.005025000
0.000003906,-1.005025000
0.000003948,-1.005025000
0.000003990,-1.005025000
0.000004032,-1.005025000
0.000004074,-0.804020000
0.000004116,-0.804020000
0.000004158,-0.603015000
0.000004200,-0.804020000
0.000004242,-0.603015000
0.000004284,-0.603015000
0.000004326,-0.603015000
0.000004368,-0.402010000
0.000004410,-0.402010000
0.000004452,-0.603015000
0.000004494,-0.402010000
0.000004536,-0.402010000
0.000004578,-0.201005000
0.000004620,-0.201005000
0.000004662,-0.201005000
0.000004704,-0.201005000
0.000004746,0.000000000
0.000004788,-0.201005000
0.000004830,-0.201005000
0.000004872,-0.201005000
0.000004914,0.000000000
0.000004956,0.000000000
0.000004998,0.000000000
0.000005040,0.000000000
0.000005082,0.201005000
0.000005124,0.201005000
0.000005166,0.201005000
0.000005208,0.201005000
0.000005250,0.201005000
0.000005292,0.402010000
0.000005334,0.402010000
0.000005376,0.402010000
0.000005418,0.603015000
0.000005460,0.402010000
0.000005502,0.603015000
0.000005544,0.603015000
0.000005586,0.804020000
0.000005628,0.603015000
0.000005670,0.804020000
0.000005712,0.804020000
0.000005754,0.804020000
0.000005796,1.005025000
0.000005838,1.005025000
0.000005880,0.804020000
0.000005922,1.005025000
0.000005964,1.005025000
0.000006006,1.005025000
0.000006048,1.005025000
0.000006090,1.206030000
0.000006132,1.206030000
0.000006174,1.206030000
0.000006216,1.206030000
0.000006258,1.407035000
0.000006300,1.407035000
0.000006342,1.407035000
0.000006384,1.407035000
0.000006426,1.407035000
0.000006468,1.407035000
0.000006510,1.608040000
0.000006552,1.608040000
0.000006594,1.608040000
0.000006636,1.608040000
0.000006678,1.608040000
0.000006720,1.809045000
0.000006762,1.809045000
0.000006804,1.809045000
0.000006846,1.809045000
0.000006888,1.809045000
0.000006930,2.010050000
0.000006972,2.010050000
0.000007014,2.010050000
0.000007056,2.010050000
0.000007098,2.211055000
0.000007140,2.211055000
0.000007182,2.211055000
0.000007224,2.211055000
0.000007266,2.211055000
0.000007308,2.412060000
0.000007350,2.211055000
0.000007392,2.211055000
0.000007434,2.211055000
0.000007476,2.211055000
0.000007518,2.211055000
0.000007560,2.211055000
0.000007602,2.211055000
0.000007644,2.211055000
0.000007686,2.211055000
0.000007728,2.010050000
0.000007770,2.211055000
0.000007812,2.211055000
0.000007854,2.211055000
0.000007896,2.010050000
0.000007938,2.211055000
0.000007980,2.010050000
0.000008022,2.211055000
0.000008064,2.010050000
0.000008106,2.010050000
0.000008148,2.010050000
0.000008190,2.010050000
0.000008232,2.010050000
0.000008274,2.010050000
0.000008316,2.010050000
0.000008358,2.010050000
0.000008400,2.010050000
0.000008442,2.010050000
0.000008484,2.010050000
0.000008526,2.010050000
0.000008568,1.809045000
0.000008610,2.010050000
0.000008652,1.809045000
0.000008694,1.809045000
0.000008736,2.010050000
0.000008778,2.010050000
0.000008820,1.809045000
0.000008862,1.809045000
0.000008904,1.809045000
0.000008946,1.809045000
0.000008988,1.809045000
0.000009030,1.809045000
0.000009072,1.809045000
0.000009114,1.809045000
0.000009156,1.809045000
0.000009198,1.809045000
0.000009240,1.809045000
0.000009282,1.608040000
0.000009324,1.809045000
0.000009366,1.608040000
0.000009408,1.608040000
0.000009450,1.809045000
0.000009492,1.608040000
0.000009534,1.608040000
0.000009576,1.608040000
0.000009618,1.608040000
0.000009660,1.608040000
0.000009702,1.608040000
0.000009744,1.608040000
0.000009786,1.608040000
0.000009828,1.407035000
0.000009870,1.407035000
0.000009912,1.407035000
0.000009954,1.407035000
0.000009996,1.407035000
0.000010038,1.407035000
0.000010080,1.407035000
0.000010122,1.407035000
0.000010164,1.407035000
0.000010206,1.407035000
0.000010248,1.407035000
0.000010290,1.407035000
0.000010332,1.407035000
0.000010374,1.407035000
0.000010416,1.206030000
0.000010458,1.407035000
0.000010500,1.407035000
0.000010542,1.206030000
0.000010584,1.206030000
0.000010626,1.206030000
0.000010668,1.206030000
0.000010710,1.206030000
0.000010752,1.206030000
0.000010794,1.206030000
0.000010836,1.206030000
0.000010878,1.206030000
0.000010920,1.206030000
0.000010962,1.206030000
0.000011004,1.206030000
0.000011046,1.206030000
0.000011088,1.005025000
0.000011130,1.206030000
0.000011172,1.005025000
0.000011214,1.005025000
0.000011256,1.005025000
0.000011298,1.005025000
0.000011340,1.206030000
0.000011382,1.005025000
0.000011424,1.005025000
0.000011466,1.005025000
0.000011508,1.005025000
0.000011550,1.005025000
0.000011592,1.005025000
0.000011634,1.005025000
0.000011676,1.005025000
0.000011718,0.804020000
0.000011760,0.804020000
0.000011802,0.804020000
0.000011844,0.804020000
0.000011886,0.804020000
0.000011928,0.804020000
0.000011970,0.804020000
0.000012012,0.804020000
0.000012054,0.804020000
0.000012096,0.804020000
0.000012138,0.804020000
0.000012180,0.804020000
0.000012222,0.603015000
0.000012264,0.804020000
0.000012306,0.804020000
0.000012348,0.603015000
0.000012390,0.603015000
0.000012432,0.603015000
0.000012474,0.603015000
0.000012516,0.603015000
0.000012558,0.603015000
0.000012600,0.603015000
0.000012642,0.603015000
0.000012684,0.603015000
0.000012726,0.603015000
0.000012768,0.603015000
0.000012810,0.603015000
0.000012852,0.603015000
0.000012894,0.402010000
0.000012936,0.402010000
0.000012978,0.402010000
0.000013020,0.603015000
0.000013062,0.402010000
0.000013104,0.402010000
0.000013146,0.402010000
0.000013188,0.603015000
0.000013230,0.402010000
0.000013272,0.402010000
0.000013314,0.402010000
0.000013356,0.402010000
0.000013398,0.201005000
0.000013440,0.201005000
0.000013482,0.402010000
0.000013524,0.201005000
0.000013566,0.201005000
0.000013608,0.201005000
0.000013650,0.201005000
0.000013692,0.201005000
0.000013734,0.201005000
0.000013776,0.201005000
0.000013818,0.201005000
0.000013860,0.201005000
0.000013902,0.201005000
0.000013944,0.201005000
0.000013986,0.201005000
0.000014028,0.201005000
0.000014070,0.000000000
0.000014112,0.000000000
0.000014154,0.201005000
0.000014196,0.000000000
0.000014238,0.000000000
0.000014280,0.000000000
0.000014322,0.000000000
0.000014364,0.000000000
0.000014406,0.000000000
0.000014448,0.000000000
0.000014490,0.201005000
0.000014532,0.000000000
0.000014574,0.000000000
0.000014616,0.000000000
0.000014658,0.000000000
0.000014700,-0.201005000
0.000014742,-0.201005000
0.000014784,-0.201005000
0.000014826,0.000000000
0.000014868,0.000000000
0.000014910,-0.201005000
0.000014952,-0.201005000
0.000014994,0.000000000
0.000015036,-0.201005000
0.000015078,-0.201005000
0.000015120,-0.201005000
0.000015162,0.000000000
0.000015204,-0.201005000
0.000015246,-0.201005000
0.000015288,-0.201005000
0.000015330,-0.201005000
0.000015372,-0.402010000
0.000015414,-0.402010000
0.000015456,-0.201005000
0.000015498,-0.201005000
0.000015540,-0.402010000
0.000015582,-0.402010000
0.000015624,-0.402010000
0.000015666,-0.201005000
0.000015708,-0.402010000
0.000015750,-0.402010000
0.000015792,-0.603015000
0.000015834,-0.402010000
0.000015876,-0.402010000
0.000015918,-0.603015000
0.000015960,-0.402010000
0.000016002,-0.402010000
0.000016044,-0.402010000
0.000016086,-0.402010000
0.000016128,-0.402010000
0.000016170,-0.402010000
0.000016212,-0.603015000
0.000016254,-0.603015000
0.000016296,-0.603015000
0.000016338,-0.603015000
0.000016380,-0.603015000
0.000016422,-0.603015000
0.000016464,-0.603015000
0.000016506,-0.603015000
0.000016548,-0.603015000
0.000016590,-0.804020000
0.000016632,-0.603015000
0.000016674,-0.402010000
0.000016716,-0.804020000
0.000016758,-0.804020000
0.000016800,-0.804020000
0.000016842,-0.804020000
0.000016884,-0.603015000
0.000016926,-0.804020000
0.000016968,-0.804020000
0.000017010,-0.804020000
0.000017052,-0.804020000
0.000017094,-0.804020000
0.000017136,-0.804020000
0.000017178,-0.804020000
0.000017220,-0.804020000
0.000017262,-1.005025000
0.000017304,-1.005025000
0.000017346,-0.804020000
0.000017388,-1.005025000
0.000017430,-1.005025000
0.000017472,-1.005025000
0.000017514,-0.804020000
0.000017556,-1.005025000
0.000017598,-1.005025000
0.000017640,-1.206030000
0.000017682,-1.005025000
0.000017724,-1.005025000
0.000017766,-1.206030000
0.000017808,-1.206030000
0.000017850,-1.206030000
0.000017892,-1.206030000
0.000017934,-1.206030000
0.000017976,-1.206030000
0.000018018,-1.005025000
0.000018060,-1.206030000
0.000018102,-1.206030000
0.000018144,-1.206030000
0.000018186,-1.206030000
0.000018228,-1.206030000
0.000018270,-1.206030000
0.000018312,-1.206030000
0.000018354,-1.206030000
0.000018396,-1.206030000
0.000018438,-1.407035000
0.000018480,-1.407035000
0.000018522,-1.206030000
0.000018564,-1.206030000
0.000018606,-1.407035000
0.000018648,-1.407035000
0.000018690,-1.407035000
0.000018732,-1.407035000
0.000018774,-1.407035000
0.000018816,-1.407035000
0.000018858,-1.407035000
0.000018900,-1.407035000
0.000018942,-1.608040000
0.000018984,-1.608040000
0.000019026,-1.206030000
0.000019068,-1.407035000
0.000019110,-1.608040000
0.000019152,-1.608040000
0.000019194,-1.407035000
0.000019236,-1.407035000
0.000019278,-1.608040000
0.000019320,-1.608040000
0.000019362,-1.608040000
0.000019404,-1.608040000
0.000019446,-1.608040000
0.000019488,-1.608040000
0.000019530,-1.608040000
0.000019572,-1.608040000
0.000019614,-1.608040000
0.000019656,-1.608040000
0.000019698,-1.608040000
0.000019740,-1.608040000
0.000019782,-1.809045000
0.000019824,-1.809045000
0.000019866,-1.809045000
0.000019908,-1.608040000
0.000019950,-1.809045000
0.000019992,-1.809045000
0.000020034,-1.809045000
0.000020076,-1.809045000
0.000020118,-1.809045000
0.000020160,-2.010050000
0.000020202,-1.809045000
0.000020244,-1.809045000
0.000020286,-1.809045000
0.000020328,-2.010050000
0.000020370,-1.809045000
0.000020412,-1.809045000
0.000020454,-2.010050000
0.000020496,-2.010050000
0.000020538,-2.010050000
0.000020580,-2.010050000
0.000020622,-2.010050000
0.000020664,-2.010050000
0.000020706,-2.010050000
0.000020748,-2.010050000
0.000020790,-2.010050000
0.000020832,-2.211055000
0.000020874,-2.010050000
0.000020916,-2.211055000
0.000020958,-2.211055000
0.000021000,-2.211055000
