COURSE,215,
LAB,Waveforms,
DATE,_10/6/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,Jingyang Sui,
,,
Time(s),Ch1(V)
0.000000000,-2.532663000
0.000000042,-2.532663000
0.000000084,-2.532663000
0.000000126,-2.532663000
0.000000168,-2.532663000
0.000000210,-2.532663000
0.000000252,-2.532663000
0.000000294,-2.532663000
0.000000336,-2.532663000
0.000000378,-2.532663000
0.000000420,-2.532663000
0.000000462,-2.532663000
0.000000504,-2.532663000
0.000000546,-2.532663000
0.000000588,-2.532663000
0.000000630,-2.532663000
0.000000672,-2.532663000
0.000000714,-2.492462000
0.000000756,-2.532663000
0.000000798,-2.532663000
0.000000840,-2.532663000
0.000000882,-2.532663000
0.000000924,-2.532663000
0.000000966,-2.532663000
0.000001008,-2.532663000
0.000001050,-2.532663000
0.000001092,-2.532663000
0.000001134,-2.532663000
0.000001176,-2.532663000
0.000001218,-2.492462000
0.000001260,-2.532663000
0.000001302,-2.572864000
0.000001344,-2.532663000
0.000001386,-2.532663000
0.000001428,-2.532663000
0.000001470,-2.532663000
0.000001512,-2.532663000
0.000001554,-2.532663000
0.000001596,-2.532663000
0.000001638,-2.532663000
0.000001680,-2.532663000
0.000001722,-2.492462000
0.000001764,-2.532663000
0.000001806,-2.532663000
0.000001848,-2.532663000
0.000001890,-2.532663000
0.000001932,-2.532663000
0.000001974,-2.532663000
0.000002016,-2.532663000
0.000002058,-2.532663000
0.000002100,-2.532663000
0.000002142,-2.532663000
0.000002184,-2.572864000
0.000002226,-2.532663000
0.000002268,-2.532663000
0.000002310,-2.532663000
0.000002352,-2.572864000
0.000002394,-2.532663000
0.000002436,-2.532663000
0.000002478,-2.532663000
0.000002520,-2.532663000
0.000002562,-2.532663000
0.000002604,-2.532663000
0.000002646,-2.532663000
0.000002688,-2.532663000
0.000002730,-2.532663000
0.000002772,-2.532663000
0.000002814,-2.532663000
0.000002856,-2.532663000
0.000002898,-2.492462000
0.000002940,-2.532663000
0.000002982,-2.572864000
0.000003024,-2.532663000
0.000003066,-2.532663000
0.000003108,-2.532663000
0.000003150,-2.532663000
0.000003192,-2.532663000
0.000003234,-2.532663000
0.000003276,-2.532663000
0.000003318,-2.572864000
0.000003360,-2.532663000
0.000003402,-2.492462000
0.000003444,-2.532663000
0.000003486,-2.532663000
0.000003528,-2.532663000
0.000003570,-2.532663000
0.000003612,-2.532663000
0.000003654,-2.532663000
0.000003696,-2.532663000
0.000003738,-2.532663000
0.000003780,-2.532663000
0.000003822,-2.532663000
0.000003864,-2.572864000
0.000003906,-2.492462000
0.000003948,-2.532663000
0.000003990,-2.532663000
0.000004032,-2.532663000
0.000004074,-2.532663000
0.000004116,-2.532663000
0.000004158,-2.532663000
0.000004200,-2.532663000
0.000004242,-2.532663000
0.000004284,-2.532663000
0.000004326,-2.532663000
0.000004368,-2.532663000
0.000004410,-2.492462000
0.000004452,-2.532663000
0.000004494,-2.532663000
0.000004536,-2.532663000
0.000004578,-2.532663000
0.000004620,-2.532663000
0.000004662,-2.572864000
0.000004704,-2.532663000
0.000004746,-2.532663000
0.000004788,-2.532663000
0.000004830,-2.532663000
0.000004872,-2.532663000
0.000004914,-2.532663000
0.000004956,-2.371859000
0.000004998,1.045226000
0.000005040,2.452261000
0.000005082,0.201005000
0.000005124,-2.492462000
0.000005166,-2.532663000
0.000005208,-2.532663000
0.000005250,-2.492462000
0.000005292,-2.532663000
0.000005334,-2.532663000
0.000005376,-2.532663000
0.000005418,-2.492462000
0.000005460,-2.532663000
0.000005502,-2.532663000
0.000005544,-2.532663000
0.000005586,-2.532663000
0.000005628,-2.532663000
0.000005670,-2.532663000
0.000005712,-2.532663000
0.000005754,-2.532663000
0.000005796,-2.492462000
0.000005838,-2.532663000
0.000005880,-2.532663000
0.000005922,-2.532663000
0.000005964,-2.532663000
0.000006006,-2.572864000
0.000006048,-2.532663000
0.000006090,-2.532663000
0.000006132,-2.532663000
0.000006174,-2.532663000
0.000006216,-2.532663000
0.000006258,-2.532663000
0.000006300,-2.532663000
0.000006342,-2.532663000
0.000006384,-2.532663000
0.000006426,-2.492462000
0.000006468,-2.532663000
0.000006510,-2.532663000
0.000006552,-2.532663000
0.000006594,-2.492462000
0.000006636,-2.532663000
0.000006678,-2.532663000
0.000006720,-2.532663000
0.000006762,-2.492462000
0.000006804,-2.532663000
0.000006846,-2.532663000
0.000006888,-2.532663000
0.000006930,-2.532663000
0.000006972,-2.532663000
0.000007014,-2.572864000
0.000007056,-2.532663000
0.000007098,-2.492462000
0.000007140,-2.532663000
0.000007182,-2.532663000
0.000007224,-2.532663000
0.000007266,-2.492462000
0.000007308,-2.532663000
0.000007350,-2.532663000
0.000007392,-2.532663000
0.000007434,-2.532663000
0.000007476,-2.532663000
0.000007518,-2.532663000
0.000007560,-2.532663000
0.000007602,-2.532663000
0.000007644,-2.532663000
0.000007686,-2.532663000
0.000007728,-2.572864000
0.000007770,-2.532663000
0.000007812,-2.532663000
0.000007854,-2.532663000
0.000007896,-2.532663000
0.000007938,-2.532663000
0.000007980,-2.532663000
0.000008022,-2.572864000
0.000008064,-2.532663000
0.000008106,-2.532663000
0.000008148,-2.532663000
0.000008190,-2.532663000
0.000008232,-2.532663000
0.000008274,-2.532663000
0.000008316,-2.532663000
0.000008358,-2.532663000
0.000008400,-2.532663000
0.000008442,-2.492462000
0.000008484,-2.532663000
0.000008526,-2.532663000
0.000008568,-2.532663000
0.000008610,-2.492462000
0.000008652,-2.532663000
0.000008694,-2.532663000
0.000008736,-2.532663000
0.000008778,-2.532663000
0.000008820,-2.532663000
0.000008862,-2.532663000
0.000008904,-2.532663000
0.000008946,-2.532663000
0.000008988,-2.492462000
0.000009030,-2.532663000
0.000009072,-2.572864000
0.000009114,-2.532663000
0.000009156,-2.532663000
0.000009198,-2.532663000
0.000009240,-2.532663000
0.000009282,-2.492462000
0.000009324,-2.532663000
0.000009366,-2.532663000
0.000009408,-2.532663000
0.000009450,-2.492462000
0.000009492,-2.532663000
0.000009534,-2.532663000
0.000009576,-2.532663000
0.000009618,-2.532663000
0.000009660,-2.532663000
0.000009702,-2.532663000
0.000009744,-2.532663000
0.000009786,-2.492462000
0.000009828,-2.532663000
0.000009870,-2.532663000
0.000009912,-2.532663000
0.000009954,-2.532663000
0.000009996,-2.532663000
0.000010038,-2.572864000
0.000010080,-2.572864000
0.000010122,-2.492462000
0.000010164,-2.532663000
0.000010206,-2.532663000
0.000010248,-2.532663000
0.000010290,-2.532663000
0.000010332,-2.532663000
0.000010374,-2.532663000
0.000010416,-2.572864000
0.000010458,-2.532663000
0.000010500,-2.532663000
0.000010542,-2.532663000
0.000010584,-2.532663000
0.000010626,-2.492462000
0.000010668,-2.532663000
0.000010710,-2.532663000
0.000010752,-2.532663000
0.000010794,-2.532663000
0.000010836,-2.532663000
0.000010878,-2.572864000
0.000010920,-2.532663000
0.000010962,-2.532663000
0.000011004,-2.532663000
0.000011046,-2.532663000
0.000011088,-2.532663000
0.000011130,-2.532663000
0.000011172,-2.532663000
0.000011214,-2.532663000
0.000011256,-2.532663000
0.000011298,-2.492462000
0.000011340,-2.532663000
0.000011382,-2.532663000
0.000011424,-2.532663000
0.000011466,-2.532663000
0.000011508,-2.532663000
0.000011550,-2.532663000
0.000011592,-2.532663000
0.000011634,-2.492462000
0.000011676,-2.532663000
0.000011718,-2.532663000
0.000011760,-2.532663000
0.000011802,-2.492462000
0.000011844,-2.532663000
0.000011886,-2.532663000
0.000011928,-2.532663000
0.000011970,-2.532663000
0.000012012,-2.532663000
0.000012054,-2.532663000
0.000012096,-2.532663000
0.000012138,-2.492462000
0.000012180,-2.532663000
0.000012222,-2.532663000
0.000012264,-2.532663000
0.000012306,-2.532663000
0.000012348,-2.532663000
0.000012390,-2.532663000
0.000012432,-2.532663000
0.000012474,-2.532663000
0.000012516,-2.532663000
0.000012558,-2.532663000
0.000012600,-2.532663000
0.000012642,-2.532663000
0.000012684,-2.532663000
0.000012726,-2.532663000
0.000012768,-2.532663000
0.000012810,-2.492462000
